xh,jyzk
2012210463,1
2012210464,1
2012211162,1
2012210466,1
2012212991,1
2012210018,1
2012213749,1
2012210470,1
2012210471,0
2012210472,1
2012210473,1
2012210474,0
2012210475,1
2012211420,1
2012214633,1
2012214663,1
2012214689,1
2012214702,1
2012214727,1
2012210482,1
2012214796,1
2012210484,1
2012210485,1
2012210486,1
2012210487,0
2012210491,0
2012210492,0
2012210493,1
2012210494,1
2012210495,0
2012210496,0
2012215397,1
2012210499,1
2012210500,1
2012210502,1
2012210503,1
2012210504,1
2012210505,1
2012210507,0
2012210510,1
2012210511,1
2012210512,0
2012213913,1
2012210514,1
2012213560,1
2012214326,1
2012210517,1
2012210518,1
2012214334,1
2012210520,1
2012210521,1
2012210522,0
2012210523,0
2012210524,0
2012210525,1
2012210527,0
2012210528,1
2012210529,0
2012210530,0
2012210531,0
2012210532,1
2012214622,1
2012210534,1
2012210535,1
2012211153,1
2012212755,1
2012210539,1
2012210540,0
2012210541,1
2012210542,1
2012210543,1
2012213392,1
2012210545,0
2012210546,0
2012210547,0
2012210548,1
2012210549,1
2012215685,1
2012210552,0
2012210553,1
2012212683,1
2012210555,1
2012214602,1
2012210559,1
2012210560,1
2012210561,0
2012210562,1
2012214724,1
2012210564,1
2012211309,1
2012211236,1
2012214311,1
2012210568,1
2012210570,1
2012210571,1
2012210572,1
2012214852,1
2012210035,1
2012211019,1
2012211337,1
2012210577,1
2012212691,1
2012212719,1
2012210581,0
2012210582,0
2012210583,0
2012210584,1
2012212672,1
2012212801,1
2012215568,1
2012211276,1
2012213084,1
2012210590,0
2012210591,1
2012210592,0
2012214318,1
2012210595,1
2012212642,1
2012210598,0
2012210599,1
2012210600,1
2012210601,1
2012212910,1
2012215070,1
2012210604,0
2012210605,1
2012210606,1
2012210607,1
2012215173,1
2012210609,0
2012215589,1
2012213001,1
2012212640,1
2012210613,1
2012210614,0
2012210615,1
2012210616,1
2012210617,0
2012214190,1
2012210067,1
2012212686,1
2012213347,1
2012210622,1
2012210623,0
2012210624,1
2012213357,1
2012210626,0
2012210627,1
2012215255,1
2012213963,1
2012213397,1
2012210631,0
2012214499,1
2012211521,1
2012215463,1
2012215745,1
2012210636,1
2012210516,1
2012210793,1
2012213243,1
2012210641,0
2012210642,1
2012210643,1
2012213258,1
2012210645,1
2012215849,1
2012210647,1
2012210648,1
2012210650,1
2012214058,1
2012214255,1
2012210653,0
2012210654,1
2012214703,1
2012214842,1
2012210657,1
2012214846,1
2012210660,1
2012210661,1
2012210662,1
2012215000,1
2012215055,1
2012210665,1
2012210666,1
2012212828,1
2012211323,1
2012211383,1
2012210670,0
2012210671,1
2012210672,1
2012210673,1
2012214350,1
2012211726,1
2012212340,1
2012210679,0
2012213828,1
2012214300,1
2012214440,1
2012214007,1
2012210102,1
2012210685,1
2012210150,1
2012213504,1
2012211408,1
2012215328,1
2012210690,1
2012214601,1
2012215769,1
2012215775,1
2012215779,1
2012210696,1
2012214957,1
2012214184,1
2012211862,1
2012212981,1
2012210702,1
2012212285,1
2012212490,1
2012210706,1
2012215476,1
2012210708,1
2012210709,1
2012213378,1
2012210711,1
2012210712,1
2012210713,0
2012213836,1
2012210715,0
2012210716,1
2012214409,1
2012214503,1
2012210719,1
2012210720,1
2012210721,0
2012210722,1
2012210724,0
2012210725,0
2012210726,1
2012210728,0
2012211179,1
2012210730,1
2012214550,1
2012210732,1
2012212684,1
2012210734,1
2012210735,1
2012215283,1
2012214153,1
2012214814,1
2012212142,1
2012210741,1
2012214863,1
2012214893,1
2012210745,1
2012214645,1
2012210747,0
2012210748,1
2012211625,1
2012213820,1
2012210751,1
2012210752,1
2012210753,1
