sno,jyzk
2012214184,1
2012210186,0
2012213588,1
2012212627,1
2012212954,1
2012213926,1
2012214105,1
2012210040,0
2012211891,0
2012212807,1
2012214956,1
2012214895,1
2012211480,0
2012213026,1
2012214670,1
2012210758,1
2012215586,1
2012212180,0
2012212307,1
2012211411,1
2012210616,1
2012210497,1
2012214966,1
2012214085,1
2012215086,1
2012211890,0
2012214351,1
2012214540,1
2012215758,1
2012213018,1
2012215670,1
2012211637,1
2012212416,1
2012211648,1
2012213803,1
2012215246,1
2012213716,1
2012214426,1
2012214631,1
2012214852,1
2012213348,1
2012210199,1
2012215820,0
2012213772,1
2012213342,1
2012211014,1
2012212759,0
2012213302,1
2012211581,1
2012213932,1
2012210735,1
2012211207,1
2012214369,1
2012215819,1
2012211232,1
2012215437,1
2012212914,1
2012210371,1
2012214782,1
2012214634,1
2012215307,1
2012214286,1
2012213252,1
2012213299,1
2012211402,1
2012214123,1
2012212963,1
2012213307,1
2012211691,1
2012213321,1
2012212341,1
2012213930,1
2012214501,1
2012212956,1
2012215264,1
2012211453,0
2012213281,1
2012214136,1
2012213418,1
2012214889,1
2012215301,1
2012213849,1
2012211707,1
2012215003,1
2012210386,1
2012212032,1
2012213052,1
2012210275,1
2012211155,1
2012213045,1
2012211190,1
2012215380,1
2012212618,1
2012210486,0
2012214643,1
2012212864,1
2012211360,1
2012213797,1
2012211260,1
2012211457,1
2012211983,0
2012211952,1
2012212650,1
2012211431,1
2012212577,1
2012210094,1
2012215674,1
2012215261,1
2012213068,1
2012214508,1
2012213869,1
2012211950,1
2012213335,1
2012210091,0
2012215074,1
2012211675,1
2012210620,1
2012211861,1
2012213598,1
2012210041,1
2012210217,0
2012215349,1
2012213985,1
2012212257,1
2012215090,0
2012214667,1
2012214322,1
2012212489,0
2012211545,1
2012213373,1
2012210349,1
2012211445,0
2012215982,1
2012212790,1
2012215219,1
2012212614,1
2012212070,1
2012212351,1
2012212957,1
2012214591,1
2012211740,1
2012213317,1
2012214964,1
2012215959,1
2012213678,0
2012210139,1
2012213978,1
2012212601,1
2012210493,1
2012210625,1
2012215952,1
2012211958,1
2012211179,0
2012211355,0
2012212235,1
2012213304,1
2012210749,0
2012212305,0
2012213813,1
2012212436,1
2012212371,0
2012213769,1
2012214370,1
2012214550,1
2012214637,1
2012211294,1
2012212355,1
2012214695,1
2012212779,1
2012212995,0
2012214199,1
2012212464,1
2012212706,1
2012213059,0
2012214247,0
2012215660,0
2012213256,1
2012215942,0
2012215140,1
2012212870,1
2012211985,1
2012213988,1
2012211326,1
2012210272,1
2012213461,1
2012211732,1
2012216069,1
2012210369,1
2012213939,1
2012211530,1
2012214006,1
2012213943,1
2012214905,1
2012213538,1
2012214787,1
2012210257,1
2012211775,0
2012212175,1
2012211196,1
2012212224,1
2012213007,1
2012211601,1
2012211514,1
2012215976,1
2012211452,1
2012211555,0
2012211340,1
2012213540,1
2012211628,1
2012212279,1
2012214814,1
2012213825,1
2012212869,1
2012212315,1
2012215176,1
2012213569,1
2012212875,1
2012214391,1
2012212388,1
2012212490,1
2012212218,1
2012212350,1
2012215861,1
2012210528,1
2012211337,1
2012212394,1
2012214921,1
2012213928,1
2012214483,1
2012210489,1
2012214959,1
2012212612,0
2012213702,1
2012210138,1
2012212723,0
2012211226,1
2012213466,1
2012211771,1
2012215100,0
2012212046,1
2012213197,0
2012213552,1
2012211666,1
2012211372,0
2012211946,0
2012212465,1
2012213838,1
2012212172,1
2012214415,1
2012215321,1
2012210766,1
2012211577,1
2012213841,0
2012215989,1
2012215681,1
2012212258,0
2012214132,1
2012214168,1
2012212015,1
2012215218,1
2012213065,1
2012212769,1
2012211463,1
2012213498,1
2012213731,1
2012213704,1
2012210048,1
2012216062,1
2012211638,1
2012212890,1
2012210642,1
2012213561,1
2012211542,1
2012212685,0
2012215007,1
2012212825,1
2012211993,1
2012210161,0
2012215975,0
2012213814,1
2012213960,1
2012211122,1
2012214190,1
2012212195,1
2012212174,1
2012215235,1
2012214406,1
2012215208,0
2012212950,1
2012210189,1
2012211157,1
2012215853,1
2012213225,1
2012213521,1
2012212002,1
2012210083,1
2012214973,1
2012214418,0
2012211396,1
2012214149,1
2012212190,1
2012214862,0
2012215443,1
2012214194,1
2012213874,1
2012212558,0
2012215903,1
2012215206,1
2012212991,1
2012214398,1
2012213042,1
2012214774,1
2012215753,1
2012210235,0
2012212241,1
2012214393,1
2012215134,1
2012211253,1
2012214156,1
2012211973,0
2012212861,0
2012212474,1
2012210387,1
2012210591,1
2012215461,1
2012211363,1
2012215405,1
2012215823,1
2012213430,1
2012215413,1
2012213940,0
2012212529,1
2012213239,1
2012213510,0
2012215313,1
2012211493,1
2012212240,0
2012211939,1
2012213465,1
2012215027,1
2012213607,1
2012215520,0
2012210846,1
2012215023,1
2012213793,0
2012215914,1
2012213366,1
2012215530,1
2012214576,1
2012215514,1
2012214881,1
2012211324,1
2012213319,1
2012210601,1
2012215856,1
2012215936,1
2012211585,0
2012212008,1
2012214446,1
2012215880,1
2012214082,1
2012214129,1
2012215759,1
2012211859,1
2012213314,1
2012211191,1
2012215848,1
2012214925,1
2012212134,0
2012210400,1
2012213015,1
2012213291,1
2012215594,1
2012210443,1
2012210250,1
2012212846,1
2012210244,1
2012214477,1
2012211188,1
2012211186,1
2012215741,1
2012211849,1
2012214552,1
2012215438,0
2012214377,1
2012215629,1
2012213689,1
2012213595,1
2012212199,1
2012211243,1
2012212866,0
2012212527,1
2012213206,1
2012214473,1
2012213072,1
2012211986,0
2012212632,1
2012211228,1
2012212511,1
2012210175,1
2012215506,1
2012212076,0
